kode,nama,lat,lng
11,Aceh,5.57055,95.34081
12,Sumatera Utara,3.58063,98.672
13,Sumatera Barat,-0.93767,100.36044
14,Riau,0.51771,101.44584
15,Jambi,-1.604,103.58358
16,Sumatera Selatan,-2.97716,104.75053
17,Bengkulu,-3.82094,102.28399
18,Lampung,-5.44121,105.25829
19,Kepulauan Bangka Belitung,-2.15292,106.15789
21,Kepulauan Riau,0.87616,104.44522
31,Daerah Khusus Ibukota Jakarta,-6.1778,106.82844
32,Jawa Barat,-6.90222,107.61876
33,Jawa Tengah,-6.99348,110.42024
34,Daerah Istimewa Yogyakarta,-7.79474,110.36728
35,Jawa Timur,-7.24557,112.73917
36,Banten,-6.17371,106.15663
51,Bali,-8.66779,115.23409
52,Nusa Tenggara Barat,-8.58148,116.10975
53,Nusa Tenggara Timur,-10.17131,123.60744
61,Kalimantan Barat,-0.061,109.35335
62,Kalimantan Tengah,-2.21684,113.91875
63,Kalimantan Selatan,-3.48431,114.8338
64,Kalimantan Timur,-0.50081,117.13935
65,Kalimantan Utara,2.84223,117.37404
71,Sulawesi Utara,1.47013,124.84481
72,Sulawesi Tengah,-0.89061,119.87107
73,Sulawesi Selatan,-5.13908,119.45237
74,Sulawesi Tenggara,-4.02474,122.54046
75,Gorontalo,0.52391,123.07746
76,Sulawesi Barat,-2.66491,118.8528
81,Maluku,-3.69441,128.1827
82,Maluku Utara,0.75586,127.6098
91,Papua,-2.5363,140.71502
92,Papua Barat,-0.91835,134.03049
93,Papua Selatan,-8.5087,140.40968
94,Papua Tengah,-3.36337,135.50389
95,Papua Pegunungan,-4.09931,138.94315
96,Papua Barat Daya,-0.88112,131.28764
11.01,Kabupaten Aceh Selatan,3.2548,97.17411
11.02,Kabupaten Aceh Tenggara,3.47336,97.81924
11.03,Kabupaten Aceh Timur,4.93274,97.78384
11.04,Kabupaten Aceh Tengah,4.62206,96.84567
11.05,Kabupaten Aceh Barat,4.15301,96.13144
11.06,Kabupaten Aceh Besar,5.29734,95.61087
11.07,Kabupaten Pidie,5.3676,95.95788
11.08,Kabupaten Aceh Utara,5.07572,97.30262
11.09,Kabupaten Simeulue,2.46141,96.38038
11.10,Kabupaten Aceh Singkil,2.27109,97.81533
11.11,Kabupaten Bireuen,5.20756,96.7264
11.12,Kabupaten Aceh Barat Daya,3.7391,96.85151
11.13,Kabupaten Gayo Lues,3.99347,97.3245
11.14,Kabupaten Aceh Jaya,4.62413,95.61681
11.15,Kabupaten Nagan Raya,4.16943,96.32437
11.16,Kabupaten Aceh Tamiang,4.30128,98.04572
11.17,Kabupaten Bener Meriah,4.70276,96.86195
11.18,Kabupaten Pidie Jaya,5.2289,96.24476
11.71,Kota Banda Aceh,5.55005,95.31783
11.72,Kota Sabang,5.89266,95.32112
11.73,Kota Lhokseumawe,5.17936,97.14894
11.74,Kota Langsa,4.46948,97.96645
11.75,Kota Subulussalam,2.67079,97.99301
12.01,Kabupaten Tapanuli Tengah,1.68469,98.82772
12.02,Kabupaten Tapanuli Utara,2.02185,98.96179
12.03,Kabupaten Tapanuli Selatan,1.51966,99.30284
12.04,Kabupaten Nias,1.24175,97.64992
12.05,Kabupaten Langkat,3.74269,98.44754
12.06,Kabupaten Karo,3.11068,98.50133
12.07,Kabupaten Deli Serdang,3.55072,98.86644
12.08,Kabupaten Simalungun,2.96535,98.8621
12.09,Kabupaten Asahan,2.98811,99.61284
12.10,Kabupaten Labuhanbatu,2.07009,99.85709
12.11,Kabupaten Dairi,2.74797,98.31397
12.12,Kabupaten Toba,2.3318,99.05102
12.13,Kabupaten Mandailing Natal,0.79673,99.57881
12.14,Kabupaten Nias Selatan,0.58338,97.77788
12.15,Kabupaten Pakpak Bharat,2.54105,98.32259
12.16,Kabupaten Humbang Hasundutan,2.25028,98.79045
12.17,Kabupaten Samosir,2.55987,98.72239
12.18,Kabupaten Serdang Bedagai,3.49127,99.12592
12.19,Kabupaten Batu Bara,3.17178,99.42098
12.20,Kabupaten Padang Lawas Utara,1.49455,99.61971
12.21,Kabupaten Padang Lawas,1.05559,99.77552
12.22,Kabupaten Labuhanbatu Selatan,1.86822,100.04115
12.23,Kabupaten Labuhanbatu Utara,2.56285,99.65807
12.24,Kabupaten Nias Utara,1.38932,97.38136
12.25,Kabupaten Nias Barat,0.99896,97.49525
12.71,Kota Medan,3.59025,98.67497
12.72,Kota Pematangsiantar,2.9565,99.06182
12.73,Kota Sibolga,1.74602,98.77559
12.74,Kota Tanjungbalai,2.94775,99.76672
12.75,Kota Binjai,3.60298,98.48318
12.76,Kota Tebing Tinggi,3.32757,99.16632
12.77,Kota Padangsidimpuan,1.37765,99.27145
12.78,Kota Gunungsitoli,1.28264,97.61346
13.01,Kabupaten Pesisir Selatan,-1.34802,100.57772
13.02,Kabupaten Solok,-0.95157,100.62136
13.03,Kabupaten Sijunjung,-0.66578,100.94461
13.04,Kabupaten Tanah Datar,-0.47437,100.62342
13.05,Kabupaten Padang Pariaman,-0.621,100.30654
13.06,Kabupaten Agam,-0.31519,100.02966
13.07,Kabupaten Lima Puluh Kota,-0.15239,100.66074
13.08,Kabupaten Pasaman,0.14039,100.16699
13.09,Kabupaten Kepulauan Mentawai,-2.05416,99.58047
13.10,Kabupaten Dharmasraya,-0.95299,101.49411
13.11,Kabupaten Solok Selatan,-1.55622,101.2395
13.12,Kabupaten Pasaman Barat,0.11038,99.82779
13.71,Kota Padang,-0.87588,100.38729
13.72,Kota Solok,-0.79948,100.65278
13.73,Kota Sawahlunto,-0.67504,100.7675
13.74,Kota Padang Panjang,-0.46212,100.3904
13.75,Kota Bukittinggi,-0.28547,100.36781
13.76,Kota Payakumbuh,-0.22252,100.63198
13.77,Kota Pariaman,-0.62899,100.13771
14.01,Kabupaten Kampar,0.31389,101.01799
14.02,Kabupaten Indragiri Hulu,-0.393,102.43757
14.03,Kabupaten Bengkalis,1.47319,102.11334
14.04,Kabupaten Indragiri Hilir,-0.31519,103.15785
14.05,Kabupaten Pelalawan,0.38379,101.84196
14.06,Kabupaten Rokan Hulu,0.89971,100.30741
14.07,Kabupaten Rokan Hilir,2.09949,100.81765
14.08,Kabupaten Siak,0.80454,102.02032
14.09,Kabupaten Kuantan Singingi,-0.5053,101.53808
14.10,Kabupaten Kepulauan Meranti,1.0007,102.72568
14.71,Kota Pekanbaru,0.51342,101.44702
14.72,Kota Dumai,1.60541,101.39166
15.01,Kabupaten Kerinci,-2.05736,101.38847
15.02,Kabupaten  Merangin,-2.06006,102.27433
15.03,Kabupaten Sarolangun,-2.31322,102.75041
15.04,Kabupaten Batanghari,-1.69361,103.273
15.05,Kabupaten  Muaro Jambi,-1.44825,103.5155
15.06,Kabupaten Tanjung Jabung Barat,-0.8267,103.46121
15.07,Kabupaten Tanjung Jabung Timur,-1.20623,103.79043
15.08,Kabupaten Bungo,-1.51632,102.11869
15.09,Kabupaten Tebo,-1.46622,102.35828
15.71,Kota Jambi,-1.6305,103.60727
15.72,Kota Sungai Penuh,-2.07091,101.39608
16.01,Kabupaten Ogan Komering Ulu,-4.16571,104.19777
16.02,Kabupaten Ogan Komering,-3.41165,104.82302
16.03,Kabupaten Muara Enim,-3.65563,103.777
16.04,Kabupaten Lahat,-3.77819,103.55048
16.05,Kabupaten Musi Rawas,-3.24351,103.01159
16.06,Kabupaten Musi Banyuasin,-2.88884,103.84023
16.07,Kabupaten Banyuasin,-2.91681,104.40664
16.08,Kabupaten Ogan Komering Ulu Timur,-4.36878,104.35845
16.09,Kabupaten Ogan Komering Ulu Selatan,-4.53232,104.09536
16.10,Kabupaten Ogan Ilir,-3.26058,104.65253
16.11,Kabupaten Empat Lawang,-3.60984,103.10276
16.12,Kabupaten Penukal Abab Lematang Ilir,-3.30987,103.88405
16.13,Kabupaten Musi Rawas Utara,-2.73469,102.90113
16.71,Kota Palembang,-2.99105,104.75675
16.72,Kota Pagar Alam,-4.03932,103.19702
16.73,Kota Lubuk Linggau,-3.32584,102.82539
16.74,Kota Prabumulih,-3.36894,104.30843
17.01,Kabupaten Bengkulu Selatan,-4.43994,102.8952
17.02,Kabupaten Rejang Lebong,-3.47796,102.53189
17.03,Kabupaten Bengkulu Utara,-3.43686,102.20179
17.04,Kabupaten Kaur,-4.75911,103.3491
17.05,Kabupaten Seluma,-4.07763,102.55625
17.06,Kabupaten Mukomuko,-2.55276,101.10421
17.07,Kabupaten Lebong,-3.15745,102.18285
17.08,Kabupaten Kepahiang,-3.62511,102.55635
17.09,Kabupaten Bengkulu Tengah,-3.77286,102.38999
17.71,Kota Bengkulu,-3.79285,102.26076
18.01,Kabupaten Lampung Selatan,-5.71768,105.58535
18.02,Kabupaten Lampung Tengah,-4.97725,105.21014
18.03,Kabupaten Lampung Utara,-4.82919,104.88744
18.04,Kabupaten Lampung Barat,-5.01897,104.06076
18.05,Kabupaten Tulang Bawang,-4.495,105.22021
18.06,Kabupaten Tanggamus,-5.48067,104.6823
18.07,Kabupaten Lampung Timur,-5.04818,105.52825
18.08,Kabupaten Way Kanan,-4.50618,104.51131
18.09,Kabupaten Pesawaran,-5.39753,105.07011
18.10,Kabupaten Pringsewu,-5.34424,105.0064
18.11,Kabupaten Mesuji,-3.87316,105.42788
18.12,Kabupaten Tulang Bawang Barat,-4.49941,105.1199
